0,185
1,201
2,255
3,239
4,221
5,207
6,236
7,232
8,230
9,290
10,289
11,233
12,225
13,237
14,225
15,252
16,229
17,260
18,336
19,250
20,252
21,303
22,337
23,315
24,273
25,411
26,317
27,378
28,302
29,343
30,424
31,393
32,416
33,380
34,380
35,384
36,388
37,339
38,361
39,401
40,344
41,420
42,392
43,399
44,307
45,346
46,322
47,301
48,378
49,345
50,331
51,332
52,313
53,359
54,270
55,288
56,335
57,341
58,255
59,219
60,214
61,216
62,236
63,198
64,231
65,313
66,278
67,171
68,231
69,289
70,188
71,233
72,257
73,207
74,239
75,218
76,221
77,236
78,237
79,174
80,193
81,262
82,218
83,222
84,232
85,204
86,241
87,232
88,239
89,285
90,294
91,275
92,231
93,289
94,226
95,263
96,250
97,230
98,262
99,233
100,217
101,223
102,260
103,219
104,270
105,221
106,302
107,228
108,242
109,253
110,267
111,224
112,217
113,224
114,230
115,254
116,320
117,270
118,275
119,299
120,223
121,351
122,346
123,347
124,388
125,374
126,354
127,374
128,372
129,430
130,466
131,448
132,395
133,460
134,394
135,449
136,458
137,413
138,500
139,385
140,437
141,538
142,441
143,434
144,499
145,552
146,555
147,578
148,452
149,470
150,514
151,561
152,483
153,438
154,430
155,520
156,369
157,399
158,368
159,447
160,330
161,420
162,325
163,336
164,333
165,263
166,368
167,285
168,306
169,251
170,250
171,242
172,302
173,188
174,220
175,218
176,177
177,214
178,175
179,176
180,175
181,223
182,163
183,169
184,156
185,191
186,174
187,138
188,182
189,169
190,143
191,156
192,211
193,154
194,161
195,193
196,186
197,159
198,161
199,250
200,216
201,199
202,212
203,169
204,165
205,208
206,210
207,218
208,270
209,233
210,205
211,175
212,209
213,228
214,217
215,224
216,208
217,248
218,261
219,237
220,211
221,287
222,291
223,299
224,286
225,257
226,312
227,270
228,260
229,285
230,356
231,374
232,337
233,345
234,372
235,403
236,297
237,396
238,418
239,374
240,424
241,468
242,394
243,358
244,462
245,477
246,432
247,466
248,437
249,458
250,599
251,560
252,404
253,396
254,451
255,418
256,480
257,341
258,322
259,545
260,367
261,388
262,437
263,394
264,355
265,217
266,351
267,342
268,280
269,302
270,283
271,259
272,236
273,190
274,209
275,216
276,280
277,368
278,317
279,211
280,187
281,205
282,207
283,176
284,151
285,172
286,201
287,219
288,167
289,149
290,197
291,158
292,154
293,145
294,192
295,134
296,165
297,141
298,156
299,168
300,158
301,171
302,162
303,160
304,150
305,164
306,146
307,158
308,183
309,172
310,170
311,163
312,152
313,219
314,185
315,201
316,224
317,213
318,252
319,202
320,232
321,185
322,290
323,150
324,212
325,265
326,187
327,230
328,267
329,229
330,308
331,333
332,357
333,314
334,288
335,305
336,302
337,333
338,283
339,244
340,316
341,304
342,297
343,257
344,371
345,316
346,445
347,428
348,339
349,401
350,379
351,342
352,286
353,312
354,365
355,342
356,483
357,322
358,441
359,296
360,438
361,354
362,292
363,340
364,420
365,324
366,394
367,302
368,301
369,318
370,331
371,330
372,318
373,291
374,345
375,359
376,203
377,291
378,258
379,264
380,276
381,250
382,315
383,204
384,235
385,241
386,251
387,269
388,268
389,259
390,194
391,203
392,330
393,174
394,216
395,204
396,149
397,172
398,229
399,172
400,156
401,143
402,138
403,145
404,231
405,201
406,205
407,151
408,199
409,189
410,189
411,210
412,209
413,246
414,227
415,233
416,285
417,219
418,190
419,233
420,220
421,251
422,243
423,264
424,310
425,264
426,338
427,268
428,283
429,299
430,384
431,322
432,292
433,346
434,307
435,383
436,283
437,277
438,287
439,267
440,234
441,285
442,330
443,263
444,304
445,323
446,293
447,319
448,309
449,214
450,273
451,235
452,307
453,243
454,278
455,275
456,249
457,269
458,268
459,313
460,275
461,286
462,358
463,275
464,328
465,309
466,309
467,312
468,314
469,332
470,332
471,306
472,282
473,346
474,296
475,269
476,279
477,249
478,271
479,299
480,259
481,297
482,235
483,279
484,327
485,279
486,264
487,214
488,237
489,267
490,275
491,226
492,267
493,239
494,261
495,230
496,240
497,250
498,217
499,189
